,Topic of the webinar,Date,Time,Start Time,End  Time,Duration,Image,Link of the webinar,Organising Body,Key Take aways / Agenda,Platform,Price (Free/Paid)
0,Botanical Illustration and Watercoloring WebJam 1 + 2,"

Jul 14, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee3ed74ab0a5e463f75aca1/1594665953350/IMG_4812.jpg,https://craftjam.co/virtual/upcoming-webjams/botanical2,Craft Jam,"No green thumb? No problem! Skip the soil and learn how to draw and paint botanical images in our two session online WebJam, hosted on-line via Zoom.",Zoom,Paid
1,Beginner Hand Lettering WebJam 1 + 2,"

Jul 15, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7bac1860e0d57d0cc6398/1594666035038/handlettering2.jpg,https://craftjam.co/virtual/upcoming-webjams/handlettering2,Craft Jam,"Learn the basic techniques of hand lettering in our beginner-friendly Hand Lettering two session WebJam, hosted online via Zoom.",Zoom,Paid
2,Make Embroidery Wall Art WebJam,"

Jul 16, 2020
",7:00 PM – 8:30 PM,7:00PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee2a4c2db75eb4c391fc593/1594666090707/craftjam-embroidery-workshop.jpg,https://craftjam.co/virtual/upcoming-webjams/embroidery,Craft Jam,"Start stitching! Learn easy embroidery stitches in our beginner-friendly Make Embroidery Wall Art WebJam, hosted online via Zoom.",Zoom,Paid
3,Floral Embroidery WebJam,"

Jul 18, 2020
",1:00 PM – 3:00 PM,1:00 PM,15:00,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee3e502c6554917ffeb5877/1594666151373/Floral+Embroidery.jpeg,https://craftjam.co/virtual/upcoming-webjams/floralembroidery,Craft Jam,"Learn to create a beautiful floral embroidered wreath design to hang on your wall in our Floral Embroidery WebJam, hosted online via Zoom.",Zoom,Paid
4,Negative Space Embroidery WebJam,"

Jul 18, 2020
",3:30 PM – 5:00 PM,3:30 PM,5:00 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee3e6998243fc4971d37a3f/1594666203621/IMG-5657.jpg,https://craftjam.co/virtual/upcoming-webjams/negativespaceembroidery2,Craft Jam,Want to step up your embroidery skills and impress your design-y friends? Look no further and join this satin stitch-based embroidery WebJam hosted online via Zoom.,Zoom,Paid
5,Macrame Wall Hanging WebJam,"

Jul 19, 2020
",1:00 PM – 2:30 PM,1:00 PM,2:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee3e8158fae5f3d1bab25f4/1594666291212/Macrame+Wall+Art+copy.jpg,https://craftjam.co/virtual/upcoming-webjams/macramewall,Craft Jam,"Learn to craft your own beautiful rope-based decor piece in our Macrame Wall Hanging WebJam, hosted online via Zoom.",Zoom,Paid
6,Needle Felting WebJam,"

Jul 19, 2020
",3:30 PM – 5:00 PM,3:30 PM,5:00 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee3eb8779f5722b3c6810c5/1594666312836/needle-felting.jpg,https://craftjam.co/virtual/upcoming-webjams/needlefelting2,Craft Jam,"Prepare yourself for cuteness, this CraftJam will be aww-some. It’s time to learn needle felting! Needle felting is an ideal craft, because it has a quick learning curve, requires minimal supplies and can be done almost anywhere!",Zoom,Paid
7,Beginner Modern Calligraphy WebJam 1 + 2,"

Jul 22, 2020
",7:00 PM – 9:00 PM,7:00 PM,9:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0715bdbcae5e1803baddf5/1594739695604/Modern+Calligraphy.jpg,https://craftjam.co/virtual/upcoming-webjams/calligraphy2-a9caj,Craft Jam,"In our two session, beginner-friendly Beginner Modern Calligraphy WebJam, hosted online via Zoom, our JamMaster will introduce you to the techniques of pointed pen calligraphy.",Zoom,Paid
8,12 Stitch Embroidery Sampler WebJam 1 + 2,"

Jul 23, 2020
",7:00 PM – 9:00 PM,7:00 PM,9:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7a48c1dae3d310a2115d7/1594666560300/embroidery-tote.jpg,https://craftjam.co/virtual/upcoming-webjams/12stitch,Craft Jam,"Over the course of two sessions taught online via Zoom, learn 12 different stitches and put those new skills to use on your own one-of-a-kind sampler!",Zoom,Paid
9,Beginner's Floral Watercolor WebJam,"

Jul 25, 2020
",10:00 AM – 11:30 AM,10:00 AM,11:30 AM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7a7d2b5e129712da14ba2/1594666611898/watercolor-flowers.jpg,https://craftjam.co/virtual/upcoming-webjams/floralwatercolor,Craft Jam,"Get into the flow with watercoloring, the perfect medium for free-flowing artwork. Receive a thorough introduction to this classic art form, hosted on-line via Zoom.",Zoom,Paid
10,Macrame Plant Hanger WebJam,"

Jul 25, 2020
",1:00 PM – 2:30 PM,1:00 PM,2:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7a9c145a1d73fa26f56a1/1594666651147/Macrame+Plant+Hangers+3.jpg,https://craftjam.co/virtual/upcoming-webjams/macrameplant2,Craft Jam,"Craft a new way to display your plant! Learn basic macrame skills and how to make beautiful macrame plant hanger in our WebJam, hosted online via Zoom.",Zoom,Paid
11,Create Animated iPad Illustrations WebJam 1 + 2,"

Jul 25, 2020
",3:30 PM – 5:00 PM,3:30 PM,5:00 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7abc28a40864f6940e3c8/1594666722774/IMG_4584.jpg,https://craftjam.co/virtual/upcoming-webjams/animated,Craft Jam,"Join us to learn the basic features of the most popular digital painting software out there, Procreate, so you can animate your drawings and illustrations, hand lettering and more!",Zoom,Paid
12,Botanical Illustration and Watercoloring WebJam 1 + 2,"

Jul 26, 2020
",10:00 AM – 11:30 AM,10:00 AM,11:30 AM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7ad9ab4a0f009a9749e7f/1594666744334/IMG_4812.jpg,https://craftjam.co/virtual/upcoming-webjams/botanical,Craft Jam,"No green thumb? No problem! Skip the soil and learn how to draw and paint botanical images in our two session online WebJam, hosted on-line via Zoom.",Zoom,Paid
13,Beginner Hand Lettering WebJam 1 + 2,"

Jul 26, 2020
",1:00 PM – 2:30 PM,1:00 PM,2:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7af63db3b8842f570d670/1594667920299/handlettering2.jpg,https://craftjam.co/virtual/upcoming-webjams/handlettering,Craft Jam,"Learn the basic techniques of hand lettering in our beginner-friendly Hand Lettering two session WebJam, hosted online via Zoom.",Zoom,Paid
14,Learn to Make a  Zine WebJam,"

Jul 26, 2020
",3:30 PM – 5:00 PM,3:30 PM,5:00 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7b0ca5ff7d2622ede37f1/1594667989683/IMG_1453.jpeg,https://craftjam.co/virtual/upcoming-webjams/zine,Craft Jam,Join us and learn about the long history of zines  and how to create your very own in our online WebJam hosted via Zoom.,Zoom,Paid
15,Negative Space Embroidery WebJam,"

Jul 27, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7b22e5ff7d2622ede80a6/1594668012466/IMG-5657.jpg,https://craftjam.co/virtual/upcoming-webjams/negativespaceembroidery,Craft Jam,Want to step up your embroidery skills and impress your design-y friends? Look no further and join this satin stitch-based embroidery WebJam hosted online via Zoom.,Zoom,Paid
16,T-Shirt Embroidery WebJam,"

Jul 28, 2020
",7:00 PM – 8:30 PM,7:00 PM,20:30,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee2a215cf622b7b20d184bb/1594668050602/T-shirt+Embroidery.jpg,https://craftjam.co/virtual/upcoming-webjams/tshirtembroidery,Craft Jam,"Join our WebJam, hosted online via Zoom, and take your basic tee to the next level with one of our favorite crafty skills: embroidery! ",Zoom,Paid
17,Macrame Plant Hanger WebJam,"

Jul 29, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7b375a1aef52e9a8d5abf/1594668074987/Macrame+Plant+Hangers+3.jpg,https://craftjam.co/virtual/upcoming-webjams/macrameplant,Craft Jam,"Craft a new way to display your plant! Learn basic macrame skills and how to make beautiful macrame plant hanger in our WebJam, hosted online via Zoom.",Zoom,Paid
18,Needle Felting WebJam,"

Jul 31, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7b486f4ba336b5501748d/1594668090935/needle-felting.jpg,https://craftjam.co/virtual/upcoming-webjams/needlefelting,Craft Jam,"Prepare yourself for cuteness, this CraftJam will be aww-some. It’s time to learn needle felting! Needle felting is an ideal craft, because it has a quick learning curve, requires minimal supplies and can be done almost anywhere!",Zoom,Paid
19,Watercolor Brush Lettering WebJam 1 + 2,"

Aug 1, 2020
",10:00 AM – 11:30 AM,10:00 AM,11:30 AM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7bc80be2c546850f3611c/1594668172553/watercolor-brush-lettering1500x1000px1.jpg,https://craftjam.co/virtual/upcoming-webjams/brushletter,Craft Jam,"Whether you are interested to learn basic brush lettering skills or find new ways to take your watercolor skills further, join our WebJam!",Zoom,Paid
