,Title,Link,Image,Author,Date,time,key takeaways / Agenda,†Free/Paid
0,Webinar: What to Do on Your First 90 Days as a PM by fmr Intercom PM,https://www.eventbrite.com/e/webinar-what-to-do-on-your-first-30-days-as-a-pm-by-intercom-pm-tickets-106754491558?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/18132329/Intercom.png,Ulaize Hernandez,"Monday, June 22nd, 2020",11:30AM - 12:00PM (PT) ,,
1,Webinar: Product Pricing Strategies by Western Digital Dir of PM,https://www.eventbrite.com/e/webinar-product-pricing-strategies-by-western-digital-dir-of-pm-tickets-108697561332?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/03/26151221/western.png,Parag Beeraka,"Monday, June 22nd, 2020",2:00PM - 2:30PM (PT) ,,
2,Product Management Live Chat by Booking.com Sr PM,https://www.eventbrite.com/e/product-management-live-chat-by-bookingcom-sr-pm-tickets-102900977594?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/07/20103706/Booking.com-Square.png,Puja Nanda,"Tuesday, June 23rd, 2020",10:30AM - 11:00AM (PT) ,,
3,Webinar: How to Onboard & Add Value to Your Team by YouTube PM,https://www.eventbrite.com/e/webinar-how-to-onboard-add-value-to-your-team-by-youtube-pm-tickets-107682489224?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11132844/YouTube-Square-2.png,Karan Mathur,"Tuesday, June 23rd, 2020",11:30AM - 12:00PM (PT) ,,
4,Webinar: What I Wish I Knew About PM Before I Became a PM by Zappos PM,https://www.eventbrite.com/e/webinar-how-to-succeed-in-the-first-30-days-as-a-pm-by-square-sr-pm-tickets-106641876724?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/11/28154716/square_ogo.jpg,Daniel Taylor,"Tuesday, June 23rd, 2020",2:00PM - 2:30PM (PT) ,,
5,Fireside Chat with Drift CEO,https://www.eventbrite.com/e/fireside-chat-with-drift-ceo-tickets-107682878388?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/18132317/Drift.png,Carlos Gonz√°lez De Villaumbrosia and David Cancel,"Wednesday, June 24th, 2020",11:30AM - 12:00PM (PT) ,Join us for an interactive fireside chat series with Product Leaders from top tech companies worldwide.,Free
6,Webinar: Falling in Love with the Problem Statement by Nike Sr PM,https://www.eventbrite.com/e/webinar-falling-in-love-with-the-problem-statement-by-nike-sr-pm-tickets-107954266116?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2016/08/11140821/nike-square.jpg,Nikhil Wadhera,"Wednesday, June 24th, 2020",2:00PM - 2:30PM (PT) ,"Uncover the real problem: Henry Ford famously said: ìIf I had asked people what they wanted, they would have said faster horses.î (Henry Ford)",Free
7,Product Management Live Chat by Instagram PM,https://www.eventbrite.com/e/product-management-live-chat-by-instagram-pm-tickets-103344939496?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/07/23102251/instagram-logo.png,Deotima Mukherjee,"Thursday, June 25th, 2020",10:30AM - 11:00AM (PT) ,Deotima is a Product Manager thatís demonstrated a strong capability of managing large projects with global cross-functional teams where she delivered great results,Free
8,Webinar: How to Make your Product Accessible by Amazon Sr PM,https://www.eventbrite.com/e/webinar-how-to-make-your-product-accessible-by-amazon-sr-pm-tickets-98229804991?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/27092856/Amazon-Alexa1.png,Abhiram Moturi,"Thursday, June 25th, 2020",11:30AM - 12:00PM (PT) ,What could be the main challenges to make Products more accessible and how can you overcome them?,Free
9,Webinar: Building Minimum Viable Product by fmr Expedia PM,https://www.eventbrite.com/e/webinar-building-minimum-viable-product-by-fmr-expedia-pm-tickets-106386671398?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/30140232/Expedia-Group-square.jpg,Kate Grinevskaja,"Thursday, June 25th, 2020",2:00PM - 2:30PM (PT) ,,Free
