,Title,Link,Image,Author,Date,time
0,Webinar: 8 Difficulties When Entering Chinese Market by Airbnb fmr PM,https://www.eventbrite.com/e/webinar-8-difficulties-when-entering-chinese-market-by-airbnb-fmr-pm-tickets-107743387372?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11133513/AirBnB-square.png,Julian Leung,"Monday, July 6th, 2020",11:30AM - 12:00PM (PT) 
1,Webinar: How to Become Better at Prioritization by fmr Dropbox PM,https://www.eventbrite.com/e/webinar-how-to-become-better-at-prioritization-by-fmr-dropbox-pm-tickets-107753022190?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/09122045/Dropbox-square-2.jpg,Ketan Nayak,"Monday, July 6th, 2020",2:00PM - 2:30PM (PT) 
2,Product Management Live Chat by Target Director of PM,https://www.eventbrite.com/e/product-management-live-chat-by-target-director-of-pm-tickets-104427894644?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11140229/Target-square.png,Sada Kshirsagar,"Tuesday, July 7th, 2020",10:30AM - 11:00AM (PT) 
3,Webinar: How to Work With a Finance Team? by DAZN Sr PM,https://www.eventbrite.com/e/webinar-how-to-work-with-a-finance-team-by-dazn-sr-pm-tickets-107747818626?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/03/27142648/DAZN.png,Richard Giannetti,"Tuesday, July 7th, 2020",11:30AM - 12:00PM (PT) 
4,Webinar: How to Break Into Product Management by Uber Sr PM,https://www.eventbrite.com/e/webinar-best-practices-of-product-interviewing-by-fmr-lyft-sr-pm-tickets-108143056794?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Richa Pareek,"Tuesday, July 7th, 2020",2:00PM - 2:30PM (PT) 
5,Fireside Chat with Chartio CEO,https://www.eventbrite.com/e/fireside-chat-with-chartio-ceo-tickets-104021834106?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/02/18152355/Chartio.png,Dave Fowler,"Wednesday, July 8th, 2020",11:30AM - 12:00PM (PT) 
6,Webinar: How to Identify Product Opportunities by LinkedIn PM,https://www.eventbrite.com/e/webinar-how-to-identify-product-opportunities-by-linkedin-pm-tickets-107971489632?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/12/23172919/Linkedin_logo_new.png,Brady Simpson,"Wednesday, July 8th, 2020",2:00PM - 2:30PM (PT) 
7,Webinar: Driving Machine Learning Roadmaps by Amazon Sr Tech PM,https://www.eventbrite.com/e/webinar-driving-machine-learning-roadmaps-by-amazon-sr-tech-pm-tickets-104663387008?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/27092856/Amazon-Alexa1.png,Prerna Kaul,"Friday, July 10th, 2020",11:30AM - 12:00PM (PT) 
8,Webinar: Building an eCommerce Catalog by Walmart Group PM,https://www.eventbrite.com/e/webinar-building-an-ecommerce-catalog-by-walmart-sr-pm-tickets-108698801040?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11134244/walmart-square.png,Lara Ganesan,"Friday, July 10th, 2020",2:00PM - 2:30PM (PT) 
9,Webinar: Leading in Times of Crisis by Instagram PM,https://www.eventbrite.com/e/webinar-leading-in-times-of-crisis-by-instagram-pm-tickets-108482590348?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/07/23102251/instagram-logo.png,Deotima Mukherjee,"Saturday, July 11th, 2020",11:30AM - 12:00PM (PT) 
