Topic of the webinar,Date (DD-Mon-YYYY),Start Time (hh:mm AM/PM),End Time (hh:mm AM/PM),Duration (in mins),Organising Body,Link of the webinar,Image,Key Take aways / Agenda,Platform,Price (Free/Paid)
"Autism Inclusion in Sport, Recreation and Physical Education",30-Jul-20,11:30 AM,1:00 PM,90 min,Special Olympics Australia,https://www.eventbrite.com.au/e/autism-inclusion-in-sport-recreation-and-physical-education-webinar-4-tickets-112737946232?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F105586902%2F287839746118%2F1%2Foriginal.20200610-000347?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C960%2C480&s=18d323fa62c1cff415e37cd4a5e62214,"Join Special Olympics Australia for a free live webinar series and learn practical strategies to include people with autism in your sport, physical education or recreation programs. Engage directly with experts and people with lived experience of autism. Increase your toolkit of knowledge, resources and practical applications to improve your confidence in delivering inclusive programming.",Website,Free
AFRICA FITNESS INSTRUCTORS WORKSHOP,01-Aug-20,4:30 PM,6:00 PM,90 min,AREPS AFRICA,https://www.eventbrite.co.uk/e/africa-fitness-instructors-workshop-2-tickets-111558183530?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F104768746%2F448705881418%2F1%2Foriginal.20200628-221643?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C463%2C2000%2C1000&s=4bd127a159d1c2694400a49eaa5f07b3,"This workshop is open to all African Fitness Trainers.Certificates will be emailed to participants respective email addresses.

",Zoom,Free
Taiji Qigong 18 Movements,01-Aug-20,2:30 PM,3:30 PM,60 min,Ricefield Arts,https://www.eventbrite.co.uk/e/taiji-qigong-18-movements-part-1-tickets-112245304728?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F105263580%2F140789058702%2F1%2Foriginal.20200703-181415?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C404%2C4300%2C2150&s=112ee2afa3b3fa91af0a6c3e81e6765d,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F105263580%2F140789058702%2F1%2Foriginal.20200703-181415?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C404%2C4300%2C2150&s=112ee2afa3b3fa91af0a6c3e81e6765d,Zoom,Free
Steadward Talks with Gudrun Doll-Tepper,02-Aug-20,7:30 PM,8:30 PM,60 min,Steadward Talks,https://www.eventbrite.com/e/july-27-steadward-talks-with-gudrun-doll-tepper-tickets-113766514708?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F106314316%2F308794683022%2F1%2Foriginal.20200716-171918?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C24%2C480%2C240&s=f36ddf6c203ce0cede3e9ae5d17b1b5c,A conversation with Prof. Dr. Gudrun Doll-Tepper on Opportunities and Challenges for the Future Inclusion of Athletes with a Disability,Zoom,Free
Women's Football 2020: A Field of Dreams,30-Jul-20,1:30 PM,8:30 PM,420 min,"University of Central Lancashire, Centre for Volunteering and Community Lea...",https://www.eventbrite.co.uk/e/womens-football-2020-a-field-of-dreams-online-webinar-tickets-107835302292?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102564798%2F64517778051%2F1%2Foriginal.20200603-151522?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C25%2C504%2C252&s=939bfe316eec5aa6204e0c76ae4dd480,"The University of Central Lancashire, Dick, Kerr Ladies™ and the Centre for Women’s Football Studies would like to invite individuals with interest in Women’s Football to our first conference. The purpose of the conference is to connect the past to the present and provide a platform for shaping the future. The conference will be of interest to anyone involved in the playing, coaching, and organisation of the women’s game, as well as those exploring the history of Women’s Football. We will be placing a strong emphasis on the engagement and development of young people, who will be invited to share their ideas and experiences.",Website,Free
Mat Pilates Workshop,26-Jul-20,2:30 PM,3:30 PM,60 min,Ricefield Arts,https://www.eventbrite.co.uk/e/mat-pilates-workshop-part-2-tickets-112241928630?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F105261296%2F140789058702%2F1%2Foriginal.20200703-173930?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C455%2C5238%2C2619&s=9d8697bd1da6c66369b187ee99f2e7c7,Take part in our relaxing and calming Mat Pilates Class with Pui Lee. She will show you how to set up the body in correct posture with the core muscles engaged. You will then take part in a gentle warm-up to mobilise the joints followed by various Pilates exercises. The session will then finish with flexibility work and relaxation.,Zoom,Free
Yoga in the Park,30-Jul-20,5:30 PM,6:30 PM,60 min,Washington Square Park Conservancy,https://www.eventbrite.com/e/yoga-in-the-park-inside-tickets-114342678028?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F106672010%2F151859900897%2F1%2Foriginal.20200522-191943?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C880%2C4032%2C2016&s=9567be2fa3270721599b5c8aecd51a74,"We're bringing your favorite Washington Square Park fitness classes inside to you! Join CorePower Yoga for this open level class ""from"" the Park.",Website,Free
Hip Hop Beginner Taster Dance Class,28-Jul-20,5:30 PM,6:30 PM,60 min,Battle Hill Multi-Use Centre,https://www.eventbrite.co.uk/e/hip-hop-beginner-taster-dance-class-tickets-112112168514?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F105154646%2F447846292120%2F1%2Foriginal.20200702-143148?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C532%2C1074%2C537&s=9580e90dceb5cc01d675aa6e0b40d3fb,"Join 2 x British Classical Sequence & Ballroom dancing champion Christina from Crazy4Fitness, for a fun Hip Hop dance class covering the basics. Don't worry this is for beginners!",Zoom,Free
Sport Sector Covid-19 Grants Scheme,28-Jul-20,4:00 PM,5:30 PM,90 min,Sport Ireland,https://www.eventbrite.ie/e/sport-sector-covid-19-grants-scheme-overview-tickets-114294985378?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F106639844%2F198379513570%2F1%2Foriginal.20200721-135304?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=88%2C47%2C444%2C222&s=d4f695f19f19a560ca141f7dee26e8ac,Sport Ireland will provide an overview of the grants schemes available to the sport sector under the Covid-19 Funding Programme.,Website,Free
BollyX with Swati and Cordi,29-Jul-20,3:00 PM,4:00 PM,60 min,Cordula Neckermann,https://www.eventbrite.co.uk/e/bollyx-with-swati-and-cordi-tickets-114133983818?aff=ebdssbonlinesearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F106541004%2F155008552245%2F1%2Foriginal.20200720-135920?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=25%2C0%2C2426%2C1213&s=684fa167a57b425e20c3b1e1e0b7c3ae,"In only 50 minutes you can burn up to 500 calories or more, raise your heart rate and feel refreshed.",Zoom,Free
