,Topic of the webinar,Date,Start Time,End  Time,Duration,Organising Body,Theme,Link of the webinar,Image,Key Take aways / Agenda,Platform,Price (Free/Paid)
0,Hidden in Plain Sight - Version 2.0 Digital Edition,Multiple Showtimes Available, , ,60 min,Paytm Insider, ,https://insider.in/hidden-in-plain-sight-digital-edition/event, , , ,500 onwards
1,MEHFIL : ALFAZ,April 9 | 9PM, , ,60 min,Paytm Insider, ,https://insider.in/mehfil-alfaz-apr9-2021/event, , , ,0 onwards
2,Miah-Boy Diaries (Thespo Young Live Digital) ,April 9 & 10 | 7PM, , ,60 min,Paytm Insider, ,https://insider.in/miahboy-diaries-apr-2021/event, , , ,250 - 300
3,Poetry Unfiltered Open Mic ft. Radhika Makker  ,April 8 | 8:30PM, , ,60 min,Paytm Insider, ,https://insider.in/poetry-unfiltered-open-mic-ft-radhika-makker--apr8-2021/event, , , ,79
4,CAFF'21- India's Largest Student Run Film Festival,April 9 | 11:45AM - April 12 | 6:45PM, , ,60 min,Paytm Insider, ,https://insider.in/caff21-indias-largest-student-run-film-festival-apr9-2021/event, , , ,Free
5,DiGi Open Mic-Poetry and Storytelling,April 10 | 8:30PM, , ,60 min,Paytm Insider, ,https://insider.in/digi-open-micpoetry-and-storytelling-apr10-2021/event, , , ,0 onwards
6,Poetry Unfiltered Open Mic ft. Shivi Goyal,April 11 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/poetry-unfiltered-open-mic-ft-shivi-goyal-apr11-2021/event, , , ,79
7,Spoken Words Boulevard-Poetry and Storytelling,April 11 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/spoken-words-boulevardpoetry-and-storytelling-apr11-2021/event, , , ,0 onwards
8,MINI MATCHBOX,April 24 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/mini-matchbox-apr24-2021/event, , , ,100
9,Book Discussion: The Immortals of Meluha by Amish Tripathi,April 9 | 9PM, , ,60 min,Paytm Insider, ,https://insider.in/book-discussion-the-immortals-of-meluha-by-amish-tripathi-apr9-2021/event, , , ,Free
10,Tughlaq - A rehearsed reading,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/avchetan-theatre-presents-tughlaq-dec15-2020/event, , , ,149
11,Apna Open Mic - 76th Online Edition,April 10 | 8:30PM, , ,60 min,Paytm Insider, ,https://insider.in/apna-open-mic-76th-online-edition-apr10-2021/event, , , ,0 onwards
12,A MURDER IN BROOKLYN,April 17 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/a-murder-in-brooklyn-apr17-2021/event, , , ,100
13,Taboodana's Avow Tales and Talks Tales (Un)Fairied by Shreedevi Sunil,April 17 | 6:30PM, , ,60 min,Paytm Insider, ,https://insider.in/taboodanas-avow-tales-and-talks-tales-unfairied-by-shreedevi-sunil-apr17-2021/event, , , ,499
14,CAN'T PAY? WON'T PAY!,April 25 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/cant-pay-wont-pay-apr25-2021/event, , , ,100
15,Watch Aunty Sudha Aunty Radha on Cinemapreneur,April 6 | 12PM - April 8 | 11PM, , ,60 min,Paytm Insider, ,https://insider.in/watch-aunty-sudha-aunty-radha-on-cinemapreneur-apr6-2021/event, , , ,99
16,The Platform For Artists ( Rhyems & Rhythems ) - Masteshk Open Mic ( Delhi...,March 21 | 4PM - April 25 | 8AM, , ,60 min,Paytm Insider, ,https://insider.in/the-platform-for-artists-rhyems-rhythems-masteshk-open-mic-delhi-open-mic-event--mar21-2021/event, , , ,Free
17,Apna Open Mic - 77th Online Edition,April 18 | 8:30PM, , ,60 min,Paytm Insider, ,https://insider.in/apna-open-mic-76th-online-edition-apr18-2021/event, , , ,Free
18,Nights through a window,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/nights-through-a-window-jan18-2021/event, , , ,100
19,Play This | A Hindi Feature Film By Sourabh Shrivastav,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/play-this-a-hindi-feature-film-by-sourabh-shrivastav-jan29-2021/event, , , ,100
20,KYA HUA TERA WADA?,April 10 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/kya-hua-tera-wada-apr10-2021/event, , , ,100
21,Aata hai Yaad Mujhko... (How I remember...) ,April 10 | 7:30PM, , ,60 min,Paytm Insider, ,https://insider.in/aata-hai-yaad-mujhko-how-i-remember--apr10-2021/event, , , ,Free
22,DiGi Open Mic-Poetry and Storytelling,April 17 | 8:30PM, , ,60 min,Paytm Insider, ,https://insider.in/digi-open-micpoetry-and-storytelling-apr17-2021/event, , , ,0 onwards
23,JEEBON'R CHAAYI,April 18 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/jeebonr-chaayi-apr18-2021/event, , , ,100
24,Apna Open Mic - 78th Online Edition,April 23 | 8:30PM, , ,60 min,Paytm Insider, ,https://insider.in/apna-open-mic-78th-online-edition-apr23-2021/event, , , ,0 onwards
25,DiGi Open Mic-Poetry and Storytelling,April 24 | 8:30PM, , ,60 min,Paytm Insider, ,https://insider.in/digi-open-micpoetry-and-storytelling-apr24-2021/event, , , ,0 onwards
26,Tangled Seas,March 17 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/tangled-seas-early-online-access--mar6-2021/event, , , ,300 onwards
