,Topic of the webinar,Date,Start Time,End  Time,Duration,Organising Body,Theme,Link of the webinar,Image,Key Take aways / Agenda,Platform,Price (Free/Paid)
0,Camping  & Movie Under the Stars @Tents N' Trails,Daily | 4PM, , ,60 min,Paytm Insider, ,https://insider.in/tents-n-trails-camping-with-live-band-nights-movie-under-the-stars-jan16-2021/event, , , ,1999 onwards
1,Live Acoustic & Movie Night Beach Camping At Alibaug,Saturdays | 4:30PM - Sundays | 11:00AM, , ,60 min,Paytm Insider, ,https://insider.in/diwali-special-beach-camping-at-alibaug-2020-21/event, , , ,799 onwards
2,Stargazing and Camping at Dehne | Treks and Trails,May 8 | 4PM - May 16 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/stargazing-and-camping-at-dehne-nov30-2019/event, , , ,1600 onwards
3,Igatpuri Secret Camping and Water Sports | Trek and Trails,April 17 | 3:30PM - April 18 | 10:30PM, , ,60 min,Paytm Insider, ,https://insider.in/igatpuri-secret-camping-and-water-sports-trek-and-trails-dec5-2020/event, , , ,Free
4,Purushwadi Fireflies 2021,May 15 | 11AM - May 30 | 2PM, , ,60 min,Paytm Insider, ,https://insider.in/purushwadi-fireflies-2021-may15-2021/event, , , ,3465 onwards
5,Kalsubai Camping & Trekking.,February 13 | 11AM - February 14 | 4PM, , ,60 min,Paytm Insider, ,https://insider.in/kalsubai-camping-trekking-feb13-2021/event, , , ,1399 onwards
6,Pawna Lake Camping by Trek and Trails,March 28 | 4PM - May 24 | 10AM, , ,60 min,Paytm Insider, ,https://insider.in/pawna-lake-camping-by-trek-and-trails-feb27-2021/event, , , ,"1,000"
7,Lakeside Camping at Pawna,Multiple Dates | 4PM - 10AM, , ,60 min,Paytm Insider, ,https://insider.in/lakeside-camping-at-pawna-nov9-2019/event, , , ,1350
8,Prabalmachi Camping & Trekking,Multiple Dates | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/prabalmachi-camping-trekking-feb1-2020/event, , , ,800 onwards
9,Sandhan Valley Trek & Camping,Multiple Dates |7PM, , ,60 min,Paytm Insider, ,https://insider.in/sandhan-valley-trek-camping-jan29-2020/event, , , ,1700
10,Stargazing And Camping Near Mumbai | Trikon,April 2 | 3PM - April 5 | 6AM, , ,60 min,Paytm Insider, ,https://insider.in/stargazing-and-camping-near-mumbai-trikon-apr10-2021/event, , , ,Free
11,Bhandardhara Lakeside Camping ,Weekends | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/bhandardhara-lakeside-camping-2020/event, , , ,499 onwards
12,Live Band Nights & Weekend Camping @Tents N' Trails,Saturdays | 4PM - Sundays | 11PM, , ,60 min,Paytm Insider, ,https://insider.in/ipl-nights-under-the-stars-2020/event, , , ,2499 onwards
13,Weekends at Forest Campground,January 16 | 4PM - May 30 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/weekends-at-forest-campground-mar6-2021/event, , , ,3199 onwards
14,Bhandardara Fireflies Camping 2021 | T Trikon,May 15 | 12PM - May 30 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/bhandardara-fireflies-camping-2021-t-trikon-may15-2021/event, , , ,2204 onwards
15,Prabalmachi Fireflies Trek and Camp 2021 | T Trikon,May 15 | 5PM - May 30 | 10AM, , ,60 min,Paytm Insider, ,https://insider.in/prabalmachi-fireflies-trek-and-camp-2021-t-trikon-may15-2021/event, , , ,1680 onwards
