,Topic of the webinar,Date,Start Time,End  Time,Duration,Organising Body,Theme,Link of the webinar,Image,Key Take aways / Agenda,Platform,Price (Free/Paid)
0,Instagram Marketing in 2021 + Keeping Content Fresh & Relevant,April 8 & 20 | 4PM - 5:30PM, , ,60 min,Paytm Insider, ,https://insider.in/instagram-marketing-in-2021-keeping-content-fresh-relevant-apr-2021/event, , , ,850
1,Story Circle - School for storytellers & writers,April 25 | 10PM - July 25 | 10PM, , ,60 min,Paytm Insider, ,https://insider.in/story-circle-school-for-storytellers-writers-jan1-2021/event, , , ,7999
2,Sagun and Nirgun Sessions,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/nirgun-and-sagun-sessions-vod-2021/event, , , ,3000 | $50 | £40 | €45
3,how to Make money From Stock Market ,April 11 | 5PM - April 18 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/learn-how-to-make-money-from-stock-market-mar28-2021/event, , , ,Free
4,Learn How to Make Money from Stock Market | Live Webinar by Ishu Trading ,April 4 | 5PM - April 25 | 7PM, , ,60 min,Paytm Insider, ,https://insider.in/learn-how-to-make-money-in-stock-market-apr4-2021/event, , , ,49 onwards
5,Learn Shlokas Chanting | Demo Class | For Kids Aged 5-14 Years | BaaBee TV,April 3 | 2PM - April 24 | 1PM, , ,60 min,Paytm Insider, ,https://insider.in/learn-shlokas-chanting-demo-class-for-kids-aged-514-years-baabee-tv-apr3-2021/event, , , ,49 onwards
6,"Stock Market, How to make Money ?",April 19 | 7AM, , ,60 min,Paytm Insider, ,https://insider.in/history-repeats-in-stock-market-apr19-2021/event, , , ,100
7,Diplomathon Global World Programme (Middle East and Africa),May 24 | 5PM - May 29 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/diplomathon-global-world-programme-middle-east-and-africa-may24-2021/event, , , ,1800
8,Nirgun Sessions ,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/nirgun-sessions--vod-2021/event, , , ,2000 | $40 | £30 | €35
9,Neuro Linguistic Programming Foundation Course,April 3 | 6PM - April 27 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/neuro-linguistic-programming-foundation-course-apr3-2021/event, , , ,4500 onwards
10,"Improve Your Mental Health in 30 Days, by Masterlife.",Everyday | 2PM, , ,60 min,Paytm Insider, ,https://insider.in/improve-your-mental-health-in-30-days-by-masterlife-jun30-2020/event, , , ,2399
11,"Learn to Be a Great Story-Teller in 7 Days, By Masterlife.",Everyday, , ,60 min,Paytm Insider, ,https://insider.in/learn-to-be-a-great-storyteller-in-7-days-by-masterlife-sep22-2020/event, , , ,999
12,"Expert Plan@Rs.799 | Learn Spoken English, Web-Designing, Digital Marketin...",September 30 | 3:40PM - December 31 | 10:25AM, , ,60 min,Paytm Insider, ,https://insider.in/expert-planrs799-learn-spoken-english-webdesigning-digital-marketing-excel-access-vba-digital-marketing-android-studio-sep30-2020/event, , , ,799
13,DEMO DIPLOMA IN INTERNATIONAL FINANCIAL REPORTING (DIPIFR) VIDEO LECTURE,October 28 | 12:28PM - April 30 | 11:59PM, , ,60 min,Paytm Insider, ,https://insider.in/demo-diploma-in-international-financial-reporting-dipifr-video-lecture-oct28-2020/event, , , ,Free
14,Improve Your Emotional Intelligence,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/improve-your-emotional-intelligence-jan11-2021/event, , , ,999
15,ETFs International perspective with Deborah A Fuhr,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/etfs-international-perspective-with-deborah-a-fuhr/event, , , ,99
16,Sagun Sessions,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/sagun-sessions-vod-2021/event, , , ,2000 | $40 | £30 | €35
17,Decoupage art - online tutorial for beginners,March 30 | 10AM - September 24 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/decoupage-workshop-for-beginners-apr5-2021/event, , , ,1000
18,Public Speaking For Kids | Demo Class | For Kids Aged 5-14 Years | BaaBee TV,April 3 | 2PM - April 24 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/public-speaking-for-kids-demo-class-for-kids-aged-514-years-baabee-tv-apr3-2021/event, , , ,49 onwards
