,Topic of the webinar,Date,Start Time,End  Time,Duration,Organising Body,Theme,Link of the webinar,Image,Key Take aways / Agenda,Platform,Price (Free/Paid)
0,The Bombay Research Summit,April 9 | 5PM - April 11 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/the-bombay-research-summit-apr9-2021/event, , , ,Free
1,How To Optimize Facebook Ads ,April 10 | 11:30AM, , ,60 min,Paytm Insider, ,https://insider.in/how-to-optimize-facebook-ads--apr10-2021/event, , , ,199
2,Make your own Natural Home Cleaners,April 17 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/make-your-natural-home-cleaners-apr17-2021/event, , , ,500
3,Therapeutic Potential of Indian Dance,April 10 | 11:30AM - April 11 | 1:30PM, , ,60 min,Paytm Insider, ,https://insider.in/therapeutic-potential-of-indian-dance-apr10-2021/event, , , ,1000
4,Let's Journal,April 9 | 7PM - April 11 | 7PM, , ,60 min,Paytm Insider, ,https://insider.in/lets-journal-apr9-2021/event, , , ,200
5,Art camp,April 6 - 19 | 11AM - 12:30PM (Excl. Sat & Sun), , ,60 min,Paytm Insider, ,https://insider.in/art-camp-apr6-2021/event, , , ,1600 onwards
6,History of ETFs with Ashish Kumar Chauhan,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/history-of-etfs-with-ashish-kumar-chauhan/event, , , ,Free
7,Brush Lettering Workshop,April 11 | 4PM, , ,60 min,Paytm Insider, ,https://insider.in/watercolor-florals-lettering-apr11-2021/event, , , ,499
8,Makers’ Bootcamp (online),April 12 | 10AM - April 23 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/makers-bootcamp-online-apr12-2021/event, , , ,2900
9,REIKI LEVEL 1,April 10 | 4:30PM - April 11 | 2:30PM, , ,60 min,Paytm Insider, ,https://insider.in/reiki-level-1-apr10-2021/event, , , ,1500
10,5 key pillars of strategic product management,April 8 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/5-key-pillars-of-strategic-product-management-apr8-2021/event, , , ,Free
11,The Art of Focus,April 15 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/the-art-of-focus-apr15-2021/event, , , ,Free
12,Semi Classical Regular Batch - Sneha Kapoor,April 15 | 7PM, , ,60 min,Paytm Insider, ,https://insider.in/semi-classical-regular-batch-sneha-kapoor-apr15-2021/event, , , ,2100
13,M.A.C Makeup School by Navreet Josan,"May 1-2, May 22-23 | 2:30 PM to 6:00 PM", , ,60 min,Paytm Insider, ,https://insider.in/mac-makeup-school-by-navreet-josan-edition-7-may1-2021/event, , , ,4300
14,Trading with ETFs by Sankha Mukherjee,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/trading-with-etfs-by-sankha-mukherjee/event, , , ,99
15,Danceathon,April 10 | 4PM - April 11 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/danceathon-apr10-2021/event, , , ,149 onwards
16,Suhana Safar 5,April 20 | 4PM - May 11 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/suhana-safar-5-apr20-2021/event, , , ,2000
17,India Largest Recruiting and Branding Virtual Jobs Fair,June 17 | 1PM, , ,60 min,Paytm Insider, ,https://insider.in/india-largest-recruiting-and-branding-virtual-jobs-fair-jun17-2021/event, , , ,Free
18,The Art of Mindfulness by Ms. Japneet Kaur Anand,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/the-art-of-mindfulness-by-ms-japneet-kaur-anand-dec24-2020/event, , , ,49
19,Google Sheets,April 10 | 4:05PM, , ,60 min,Paytm Insider, ,https://insider.in/google-sheets-apr10-2021/event, , , ,Free
20,B2B/B2C Product Management,April 10 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/b2bb2c-product-management-apr10-2021/event, , , ,Free
21,Painting by numbers | Art Workshop,April 10 | 6:30PM - May 1 | 7:45PM, , ,60 min,Paytm Insider, ,https://insider.in/painting-by-numbers-art-workshop-feb27-2021/event, , , ,350 onwards
22,Enlightening Stories for Foodies,April 11 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/enlightening-stories-for-foodies-apr11-2021/event, , , ,Free
23,Basic Photography Webinar-A Layman Approach by IPW,April 11 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/basic-photography-webinara-layman-approach-by-ipw-apr11-2021/event, , , ,999
24,Financial Fitness for Homemakers,April 17 | 4PM, , ,60 min,Paytm Insider, ,https://insider.in/financial-fitness-for-homemakers-apr17-2021/event, , , ,399
25,Stop Stress Before It Stops You: Stress Management Rapid Techniques Anytim...,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/stop-stress-before-it-stops-you-stress-management-rapid-techniques-anytime-anywhere-dec31-2020/event, , , ,49
26,Charcoal Drawing Workshop by Rajasthan Studio ,April 8 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/charcoal-drawing-workshop-by-rajasthan-studio--apr8-2021/event, , , ,499
27,Santhal Painting,April 8 | 4PM - April 9 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/santhal-painting-apr8-2021/event, , , ,1500
28,Saura Painting Workshop by Rajasthan Studio,April 8 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/saura-painting-workshop-by-rajasthan-studio-apr8-2021/event, , , ,499
29,Workshop: Present like a Pro,April 9 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/workshop-present-like-a-pro-apr9-2021/event, , , ,999
30,Decoupage Coasters Workshop by Rajasthan Studio ,April 9 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/decoupage-coasters-workshop-by-rajasthan-studio--apr9-2021/event, , , ,499
31,Gond Workshop,April 10 | 4PM - April 11 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/gond-workshop-apr10-2021/event, , , ,2800
32,The First Fold Workshop  by Rajasthan Studio,April 10 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/the-first-fold-workshop-by-rajasthan-studio-apr10-2021/event, , , ,499
33,DIY Natural Colors and Shibori [Online Live Workshop - Materials Kit Avail...,April 10 | 5:30PM, , ,60 min,Paytm Insider, ,https://insider.in/diy-natural-colors-and-shibori-online-live-workshop-materials-kit-available-apr10-2021/event, , , ,700 onwards
34,Abstract Portrait Art Class,April 10 | 5:30PM - May 1 | 6:45PM, , ,60 min,Paytm Insider, ,https://insider.in/abstract-portrait-art-class-feb27-2021/event, , , ,350 onwards
35,Chakra Mandala Art Therapy,April 10 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/chakra-mandala-art-therapy-apr10-2021/event, , , ,299
36,Belly Dance Online Class,April 10 | 7PM - April 25 | 1PM, , ,60 min,Paytm Insider, ,https://insider.in/belly-dance-fusion-workshop-dec7-2019/event, , , ,299 onwards
37,Paint your own Wooden Figurines [Online Live Workshop - Inclusive of Mater...,April 11 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/paint-your-own-wooden-figurines-online-live-workshop-inclusive-of-materials-apr11-2021/event, , , ,1000 onwards
38,Online: Terrarium making workshop,April 11 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/online-terrarium-making-workshop-feb14-2021/event, , , ,550
39,String Art Workshop by Rajasthan Studio ,April 12 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/string-art-workshop-by-rajasthan-studio--apr12-2021/event, , , ,499
40,Acrylic Painting Sunset Workshop by Rajasthan Studio ,April 12 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/acrylic-painting-sunset-workshop-by-rajasthan-studio--apr12-2021/event, , , ,499
41,Online Acting Workshop-Art Liberates,April 12 | 7:30PM - April 18 | 9:30PM, , ,60 min,Paytm Insider, ,https://insider.in/online-acting-workshopart-liberates-apr12-2021/event, , , ,1999
42,Madhubani Painting [Online Live Masterclass],April 13 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/madhubani-painting-online-live-masterclass-apr13-2021/event, , , ,3500 onwards
43,Resin Wall Clock Workshop by Rajasthan Studio ,April 15 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/resin-wall-clock-workshop-by-rajasthan-studio--apr15-2021/event, , , ,499
44,Zardosi Embroidery ,April 17 | 4PM - April 18 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/zardosi-embroidery--apr17-2021/event, , , ,3300
45,Mindfulness with Acrylic Pour [Online Live Workshop - Inclusive of Materials],April 18 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/mindfulness-with-acrylic-pour-online-live-workshop-inclusive-of-materials-apr18-2021/event, , , ,1800 onwards
46,Odisha Pattachitra Workshop,April 20 | 4PM - April 21 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/odisha-pattachitra-workshop-apr20-2021/event, , , ,1800
47,The paradigm shift to Natural UI - Human Machine Interaction in the age of AI,April 20 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/the-paradigm-shift-to-natural-ui-human-machine-interaction-in-the-age-of-ai-apr20-2021/event, , , ,Free
48,String Art [Online Live Workshop - Material Kit Available],April 24 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/string-art-online-live-workshop-material-kit-available-apr24-2021/event, , , ,900 onwards
49,Wood Distressing  [Online Live Workshop - Material Kit Available],April 24 | 5:30PM, , ,60 min,Paytm Insider, ,https://insider.in/wood-distressing-online-live-workshop-material-kit-available-apr24-2021/event, , , ,2000 onwards
50,Online : Microgreen growing workshop,April 25 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/online-workshop-microgreen-growing-mar28-2020/event, , , ,550
51,JATIN CHONKAR'S 4 DAYS WORKSHOP,May 5 | 8:32PM - May 11 | 11:32PM, , ,60 min,Paytm Insider, ,https://insider.in/jatin-chonkars-4-days-workshop-may5-2021/event, , , ,250
52,Austria Largest Recruiting and Branding Virtual Jobs Fair,May 6 | 4:30PM, , ,60 min,Paytm Insider, ,https://insider.in/austria-largest-recruiting-and-branding-virtual-jobs-fair-may6-2021/event, , , ,Free
53,Netherland Growing Recruiting and Branding Virtual Jobs Fair,September 2 | 6:30PM - September 3 | 12:30AM, , ,60 min,Paytm Insider, ,https://insider.in/netherland-growing-recruiting-and-branding-virtual-jobs-fair-may20-2021/event, , , ,Free
54, Swatantra Theatre's Online Children Theatre WorkShop ,October 1 | 4PM - July 27 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/-swatantra-theatres-online-children-theatre-workshop--oct1-2020/event, , , ,12000
55,Master The Best You,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/master-the-best-you-jan1-2021/event, , , ,3999
56,Introduction to Found Poetry- A One Page Spotlight Workshop,January 15 | 9:17PM - January 17 | 1:17AM, , ,60 min,Paytm Insider, ,https://insider.in/introduction-to-found-poetry-a-one-page-spotlight-workshop-jan15-2021/event, , , ,699
57,Smart Beta ETFs with Chintan Haria,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/smart-beta-etfs-with-chintan-haria/event, , , ,99
58,International ETFs with Pratik Oswal,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/international-etfs-with-pratik-oswal/event, , , ,99
59,Building a portfolio using ETFs with Nitin Mathur,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/building-a-portfolio-using-etfs-with-nitin-mathur/event, , , ,99
60,Market Plus ,February 2 | 1:29AM - June 1 | 1:34AM, , ,60 min,Paytm Insider, ,https://insider.in/market-plus--feb2-2021/event, , , ,19999
61,iCreate Idea Accelerator - Batch 6,March 30 | 10AM - April 13 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/icreate-idea-accelerator-batch-6-mar30-2021/event, , , ,5000
62,Providing Cost Effective Custom Market Research Reports To Help Businesses...,April 9 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/providing-cost-effective-custom-market-research-reports-to-help-businesses-get-a-competitive-edge-apr9-2021/event, , , ,Free
63,Coffee Painting Workshop by Rajasthan Studio,April 9 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/coffee-painting-workshop-by-rajasthan-studio-apr9-2021/event, , , ,499
64,ONLINE TANJORE WORKSHOP WITH SANJAY TANDEKAR ,April 9 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/online-tanjore-workshop-with-sanjay-tandekar--apr9-2021/event, , , ,6750
65,ONLINE LIPPAN KAAM WORKSHOP BY NALEMITHA (WITH MATERIALS,April 10 | 10:30AM, , ,60 min,Paytm Insider, ,https://insider.in/online-lippan-kaam-workshop-by-nalemitha-with-materials-apr10-2021/event, , , ,3000
66,Providing Cost Effective Custom Market Research Reports To Help Businesses...,April 10 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/providing-cost-effective-custom-market-research-reports-to-help-businesses-get-a-competitive-edge-apr10-2021/event, , , ,Free
67,Google Analytics 4 QnA Session,April 10 | 2PM, , ,60 min,Paytm Insider, ,https://insider.in/kothapally-arun-kumar-apr10-2021/event, , , ,Free
68,Tribal Mask Making Workshop by Rajasthan Studio,April 10 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/tribal-mask-making-workshop-by-rajasthan-studio-apr10-2021/event, , , ,499
69,Phad Painting [4-Day Online Live Masterclass],April 10 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/phad-painting-4day-online-live-masterclass-apr10-2021/event, , , ,3500 onwards
70,Eggless Royal Icing Cookies,April 10 | 4PM, , ,60 min,Paytm Insider, ,https://insider.in/eggless-royal-icing-cookies-apr10-2021/event, , , ,1200
71,Brush Calligraphy Workshop ,April 11 | 1:35PM, , ,60 min,Paytm Insider, ,https://insider.in/brush-calligraphy-workshop--apr11-2021/event, , , ,500
72,ONLINE MADHUBANI ART WORKSHOP BY PRITI KARN,April 11 | 2PM, , ,60 min,Paytm Insider, ,https://insider.in/online-madhubani-art-workshop-by-priti-karn-apr11-2021/event, , , ,750
73,Virtual B2B Product Selling Seminar - Virtual Product Expo - Online Sellin...,April 12 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/virtual-b2b-product-selling-seminar-virtual-product-expo-online-selling-conclave-apr12-2021/event, , , ,Free
74,Get A Cost Effective Custom Market Research Report For Your Business From ...,April 12 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/get-a-cost-effective-custom-market-research-report-for-your-business-from-freleto-apr12-2021/event, , , ,Free
75,ONLINE BHIL WORKSHOP BY SUBHASH BHIL,April 12 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/online-bhil-workshop-by-subhash-bhil-apr12-2021/event, , , ,500
76,Get A Cost Effective Custom Market Research Report For Your Business From ...,April 13 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/get-a-cost-effective-custom-market-research-report-for-your-business-from-freleto-apr13-2021/event, , , ,Free
77,Charcoal Art Workshop by Rajasthan Studio,April 13 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/charcoal-art-workshop-by-rajasthan-studio-apr13-2021/event, , , ,499
78,ONLINE BENGAL PATTACHITRA MASTERCLASS WITH MANORANJAN CHITRAKAR,April 13 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/online-bengal-pattachitra-masterclass-with-manoranjan-chitrakar-apr13-2021/event, , , ,3000
79,Mandalas By The Curious Minds Workshop by Rajasthan Studio ,April 14 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/mandalas-by-the-curious-minds-workshop-by-rajasthan-studio--apr14-2021/event, , , ,499
80,Abstract Fluid Art Workshop by Rajasthan Studio ,April 14 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/abstract-fluid-art-workshop-by-rajasthan-studio--apr14-2021/event, , , ,499
81,FDI - Navigating the Legal Framework,April 14 | 5:30PM, , ,60 min,Paytm Insider, ,https://insider.in/fdi-navigating-the-legal-framework-apr14-2021/event, , , ,900
82,Product Teams Are Learning Communities,April 14 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/product-teams-are-learning-communities-apr14-2021/event, , , ,Free
83,Macrame Wall Hanging Workshop by Rajasthan Studio ,April 15 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/macrame-wall-hanging-workshop-by-rajasthan-studio--apr15-2021/event, , , ,499
84,Water Colour (Trees),April 15 | 4PM - April 16 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/water-colour-trees-apr15-2021/event, , , ,3300
85,Mandala Art Workshop by Rajasthan Studio,April 16 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/mandala-art-workshop-by-rajasthan-studio-apr16-2021/event, , , ,499
86,Morning View with Gouache Workshop by Rajasthan Studio ,April 16 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/morning-view-with-gouache-workshop-by-rajasthan-studio--apr16-2021/event, , , ,499
87,ONLINE SANJHI WORKSHOP WITH ASHUTOSH (WITH MATERIALS),April 17 | 10:30AM, , ,60 min,Paytm Insider, ,https://insider.in/online-sanjhi-workshop-with-ashutosh-with-materials-apr17-2021/event, , , ,3000
88,Earthen Routes,April 17 | 11AM, , ,60 min,Paytm Insider, ,https://insider.in/organic-kitchen-gardening-and-kitchen-waste-composting-apr17-2021/event, , , ,1430
89,Leather Batik,April 17 | 11AM - April 18 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/leather-batik-apr17-2021/event, , , ,4000
90,Story-Wise (Storytelling),April 17 | 12PM - April 25 | 1PM, , ,60 min,Paytm Insider, ,https://insider.in/storywise-storytelling-apr17-2021/event, , , ,2000
91,Professional Scrum Product Owner (PSPO-I),April 17 | 1:30PM - April 18 | 10:00PM, , ,60 min,Paytm Insider, ,https://insider.in/professional-scrum-product-owner-pspoi-apr10-2021/event, , , ,28320 onwards
92,17th April - Alcohol Ink workshop with kit  (Pan India),April 17 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/17th-april-alcohol-ink-workshop-with-kit-pan-india-apr17-2021/event, , , ,2800
93,Watercolour Techniques and Motifs Workshop by Rajasthan Studio,April 17 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/watercolour-techniques-and-motifs-workshop-by-rajasthan-studio-apr17-2021/event, , , ,499
94,ONLINE USTA KAAM WORKSHOP WITH JAVED HASSAN,April 17 | 4PM, , ,60 min,Paytm Insider, ,https://insider.in/online-usta-kaam-workshop-with-javed-hassan-apr17-2021/event, , , ,3000
95,Emotional Intelligence - The Brain Hack,April 3 | 4PM - April 18 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/emotional-intelligence-the-brain-hack-apr3-2021/event, , , ,999 onwards
96,Warli Lettering Workshop by Rajasthan Studio ,April 17 | 5PM, , ,60 min,Paytm Insider, ,https://insider.in/warli-lettering-workshop-by-rajasthan-studio--apr17-2021/event, , , ,499
